id_reporte,fecha_registro,hora_registro,tipo_reporte,prioridad,canal,unidad_gaula_receptora,estado_caso,fase_operativa,nombre_reportante,identificacion_reportante,telefono_reportante,ubicacion_suceso,departamento,municipio,barrio_vereda,latitud,longitud,descripcion_hechos,numero_telefonico_asociado,alias_sospechoso,medio_cuenta_pago,monto_exigido_perdida_estimada,evidencias,observaciones_operador,modalidad,posible_grupo,riesgo_victima,tiempo_transcurrido_horas,patron_detectado,score_riesgo,tendencia_inteligencia,nodo_relacionado,dato_sintetico;;;
"NEXO-147-00001,2026-04-08,10:26,Extorsión,Media,Línea 147,GAULA Cundinamarca,En verificación,Recepción,Felipe Rodríguez Salazar,DEMO-CC-78506261,3886209959,""Bello, Sector Comercial"",Antioquia,Bello,Sector Comercial,6.325185,-75.577102,""Reporte sintético de extorsión bajo modalidad extorsión digital en Bello. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3508589530,Alias-344,Daviplata / CTA-DEMO-499,1795833,Correo amenazante"; Mensaje SMS; Enlace sospechoso; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: sin_patron_confirmado. Operador: analista.demo2.,Extorsión digital,Actor desconocido,Medio,68,sin_patron_confirmado,57,Crecimiento semanal,Alias-344|CTA-DEMO-499|3508589530,SI
"NEXO-147-00002,2025-08-27,08:27,Fraude con intimidación,Media,Línea 147,GAULA Atlántico,Asignado a unidad,Recepción,Santiago López Mejía,DEMO-CC-44426152,3339300307,""Facatativá, Terminal"",Cundinamarca,Facatativá,Terminal,4.81691,-74.38521,""Reporte sintético de fraude con intimidación bajo modalidad falso servicio en Facatativá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3538127377,Alias-920,Daviplata / CTA-DEMO-472,5175088,Comprobante de pago"; Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: sin_patron_confirmado. Operador: analista.demo2.,Falso servicio,Célula financiera ficticia,Medio,84,sin_patron_confirmado,53,Concentración geográfica,Alias-920|CTA-DEMO-472|3538127377,SI;;
"NEXO-147-00003,2026-04-18,17:26,Extorsión,Alta,Línea 147,GAULA Atlántico,Recibido,Recepción,Felipe Mejía Pardo,DEMO-CC-64656534,3621274945,""Floridablanca, Occidente"",Santander,Floridablanca,Occidente,7.0493,-73.102987,""Reporte sintético de extorsión bajo modalidad suplantación familiar en Floridablanca. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3609470818,Alias-572,Daviplata / CTA-DEMO-358,0,Número telefónico"; Captura WhatsApp; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: monto_bajo_repetitivo. Operador: analista.demo2.,Suplantación familiar,Red digital ficticia Beta,Alto,104,monto_bajo_repetitivo,88,Uso de cuenta repetida,Alias-572|CTA-DEMO-358|3609470818,SI;
"NEXO-147-00004,2026-02-15,15:21,Falso servicio,Alta,Línea 147,GAULA Atlántico,Escalado operativo,Verificación inicial,Mariana Vargas Torres,DEMO-CC-32632890,3518962849,""Bogotá, Vereda La Esperanza"",Bogotá D.C.,Bogotá,Vereda La Esperanza,4.682177,-74.064134,""Reporte sintético de falso servicio bajo modalidad suplantación autoridad en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3308643446,El Primo,Nequi / CTA-DEMO-266,54650757,Correo amenazante"; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo1.,Suplantación autoridad,Grupo oportunista ficticio,Crítico,177,pico_mensajeria_nocturna,100,Concentración geográfica,El Primo|CTA-DEMO-266|3308643446,SI;;
"NEXO-147-00005,2025-12-07,20:21,Extorsión,Alta,Línea 147,GAULA Meta,En verificación,Coordinación operativa,Luisa Rojas Moreno,DEMO-CC-67409967,3561863687,""Buenaventura, Sector Comercial"",Valle del Cauca,Buenaventura,Sector Comercial,3.894177,-76.993502,""Reporte sintético de extorsión bajo modalidad extorsión digital en Buenaventura. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3641836771,Alias-173,Giro nacional / CTA-DEMO-020,532018,Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: operador.demo2.,Extorsión digital,Red local ficticia Alfa,Alto,127,pagos_billetera_digital,83,Uso de cuenta repetida,Alias-173|CTA-DEMO-020|3641836771,SI";;;
"NEXO-147-00006,2026-04-14,10:59,Falso servicio,Alta,Línea 147,GAULA Valle,En verificación,Análisis de inteligencia,Julián Molina Torres,DEMO-CC-38930025,3055637858,""Cali, Terminal"",Valle del Cauca,Cali,Terminal,3.441176,-76.560354,""Reporte sintético de falso servicio bajo modalidad suplantación familiar en Cali. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3671851345,Alias-160,Nequi / CTA-DEMO-019,74727437,Sin evidencia inicial,Dato ficticio para entrenamiento. Validar patrón: sin_patron_confirmado. Operador: analista.demo2.,Suplantación familiar,Red digital ficticia Beta,Alto,22,sin_patron_confirmado,97,Concentración geográfica,Alias-160|CTA-DEMO-019|3671851345,SI";;;
"NEXO-147-00007,2025-03-13,21:05,Falso servicio,Media,Remisión Fiscalía,GAULA Atlántico,Recibido,Recepción,Natalia Martínez Martínez,DEMO-CC-85003618,3861572269,""Buenaventura, Zona Industrial"",Valle del Cauca,Buenaventura,Zona Industrial,3.90755,-77.043289,""Reporte sintético de falso servicio bajo modalidad suplantación familiar en Buenaventura. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3848649379,Comando 17,Cuenta corresponsal / CTA-DEMO-007,0,Comprobante de pago"; Correo amenazante; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo2.,Suplantación familiar,Red local ficticia Alfa,Alto,17,pico_mensajeria_nocturna,72,Sin tendencia clara,Comando 17|CTA-DEMO-007|3848649379,SI;
"NEXO-147-00008,2025-03-26,11:48,Falso servicio,Crítica,Línea 147,GAULA Bolívar,Asignado a unidad,Coordinación operativa,Carolina Herrera López,DEMO-CC-62747591,3251254228,""Soacha, Sector Comercial"",Cundinamarca,Soacha,Sector Comercial,4.542605,-74.25677,""Reporte sintético de falso servicio bajo modalidad suplantación familiar en Soacha. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3927614975,Alias-938,Cripto billetera demo / CTA-DEMO-006,12433850,Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: director.demo.,Suplantación familiar,Actor desconocido,Crítico,46,pagos_billetera_digital,100,Uso de cuenta repetida,Alias-938|CTA-DEMO-006|3927614975,SI";;;
"NEXO-147-00009,2026-05-03,11:41,Secuestro,Alta,WhatsApp Institucional,GAULA Meta,Cerrado preventivo,Coordinación operativa,Santiago Ortega Acosta,DEMO-CC-11295849,3093345966,""Bogotá, Norte"",Bogotá D.C.,Bogotá,Norte,4.702562,-74.058688,""Reporte sintético de secuestro bajo modalidad falso servicio en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3724373564,Alias-345,Daviplata / CTA-DEMO-792,5262976,Enlace sospechoso"; Correo amenazante; Número telefónico,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Falso servicio,Red digital ficticia Beta,Medio,50,pico_mensajeria_nocturna,82,Concentración geográfica,Alias-345|CTA-DEMO-792|3724373564,SI;
"NEXO-147-00010,2025-07-12,02:55,Extorsión,Media,Línea 147,GAULA Cundinamarca,En análisis,Coordinación operativa,Laura Peña Moreno,DEMO-CC-16094623,3214292763,""Bogotá, Terminal"",Bogotá D.C.,Bogotá,Terminal,4.699003,-74.071084,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3887403982,R-21,Bancolombia cuenta ahorro / CTA-DEMO-320,0,Captura WhatsApp"; Número telefónico; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: director.demo.,Amenaza por mensajería,Red local ficticia Alfa,Bajo,196,alias_reutilizado,58,Reincidencia por alias,R-21|CTA-DEMO-320|3887403982,SI;
